created_at;suburb;time;status;location;area
Fri Dec 22 10:47:58 +0000 2023;Wooroloo;18:47:00; EMERGENCY WARNING;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 10:47:58 +0000 2023;Bailup;18:47:00; EMERGENCY WARNING;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 10:47:58 +0000 2023;Mundaring;18:47:00; EMERGENCY WARNING;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 11:02:51 +0000 2023;Gidgegannup;19:02:00; EMERGENCY WARNING;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 11:02:51 +0000 2023;Wooroloo;19:02:00; EMERGENCY WARNING;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 11:02:51 +0000 2023;Bailup;19:02:00; EMERGENCY WARNING;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 11:02:51 +0000 2023;Mundaring;19:02:00; EMERGENCY WARNING;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 11:13:12 +0000 2023;Mundaring;19:13:00; ADVICE;PARKERVILLE;SHIRE OF MUNDARING
Fri Dec 22 11:13:12 +0000 2023;Parkerville;19:13:00; ADVICE;PARKERVILLE;SHIRE OF MUNDARING
Fri Dec 22 11:47:46 +0000 2023;Jarrahdale;19:47:00; EMERGENCY WARNING;KEYSBROOK, NAMBEELUP and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 11:47:46 +0000 2023;Keysbrook;19:47:00; EMERGENCY WARNING;KEYSBROOK, NAMBEELUP and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 11:47:46 +0000 2023;Serpentine;19:47:00; EMERGENCY WARNING;KEYSBROOK, NAMBEELUP and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 12:00:28 +0000 2023;Gidgegannup;20:00:00; EMERGENCY WARNING;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 12:00:28 +0000 2023;Wooroloo;20:00:00; EMERGENCY WARNING;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 12:00:28 +0000 2023;Bailup;20:00:00; EMERGENCY WARNING;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 12:00:28 +0000 2023;Mundaring;20:00:00; EMERGENCY WARNING;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 12:18:08 +0000 2023;Gidgegannup;20:18:00; WATCH AND ACT;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 12:18:08 +0000 2023;Wooroloo;20:18:00; WATCH AND ACT;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 12:18:08 +0000 2023;Bailup;20:18:00; WATCH AND ACT;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 12:18:08 +0000 2023;Mundaring;20:18:00; WATCH AND ACT;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 12:49:48 +0000 2023;Jarrahdale;20:49:00; WATCH AND ACT;KEYSBROOK, NAMBEELUP and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 12:49:48 +0000 2023;Keysbrook;20:49:00; WATCH AND ACT;KEYSBROOK, NAMBEELUP and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 12:49:48 +0000 2023;Serpentine;20:49:00; WATCH AND ACT;KEYSBROOK, NAMBEELUP and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 12:57:53 +0000 2023;Jarrahdale;20:57:00; WATCH AND ACT;KEYSBROOK, NAMBEELUP and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 12:57:53 +0000 2023;Keysbrook;20:57:00; WATCH AND ACT;KEYSBROOK, NAMBEELUP and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
